Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
UTR_3_UCSCL2_0	0.0111681302243	0.0579338589827	0.0139224641746	5.18742688516	1.24662444786	0.0009426988943984831
UTR_3_UCSC.extend.500L2_0	0.0264433476779	0.0729102807532	0.0142981808373	2.75722581125	0.540709936256	0.0013796985614733393
UTR_5_UCSCL2_0	0.00546017980732	0.0105125416162	0.00799731113163	1.92531051855	1.46466076464	0.5278777958920149
UTR_5_UCSC.extend.500L2_0	0.0268474637231	0.0848766848053	0.0157380827195	3.1614414561	0.586203705566	0.0003623133870398876
WeakEnhancer_HoffmanL2_0	0.0209056661632	0.0240972499469	0.0236628508613	1.15266596906	1.13188695718	0.8928049097099817
WeakEnhancer_Hoffman.extend.500L2_0	0.0887243571259	0.181651842215	0.0298834324797	2.04737287594	0.336812048549	0.0025091380281521496
L2_1	0.00291503715972	0.0254047311906	0.00723493329043	8.71506255275	2.48193518436	0.002100662624033329
L2_2	0.0130694383424	0.0155022246589	0.0154346035959	1.18614314194	1.18096915808	0.8748559725805546
L2_3	0.00811301963259	0.000921106298169	0.0122704656775	0.113534336151	1.51244126517	0.5580130318686081
L2_4	0.00690184576523	0.0558542712888	0.0127365676455	8.09265712227	1.84538572416	0.0001767440263620937
L2_5	0.00157637130632	0.0140441182455	0.00577429669214	8.90914354329	3.66303082846	0.03151071946971526
L2_6	0.0224244983232	0.0573901205296	0.0218661095149	2.55925995322	0.975099161629	0.11136157837229302
L2_7	0.0229742236367	0.0563906356484	0.0219359093198	2.45451757326	0.954805248988	0.1290669838164902
L2_8	0.00733766705434	0.0492623350039	0.0122942063364	6.71362364074	1.6754925299	0.0006641106079765303
L2_9	0.000768306968494	0.00704854451257	0.00382640098376	9.17412544935	4.98030232793	0.10441693004854345
L2_10	0.00566651552156	0.0314957784417	0.0103730059644	5.55822680125	1.83057929074	0.013277114308604527
L2_11	0.000209355261284	0.00168455852418	0.00214679552472	8.04641122391	10.2543184802	0.4923508167318136
L2_12	0.013356295311	0.0189123789897	0.0153557406853	1.41598987963	1.14970059644	0.7177518578543389
L2_13	0.0146567135686	0.00207152521435	0.0160697202945	0.141336269188	1.09640679128	0.43477054612938715
L2_14	0.00386200066128	0.0194260820397	0.0101821257557	5.03005663216	2.63648990477	0.1285906067620008
L2_15	0.00795331914482	0.00155937497886	0.0123240405991	0.196065938065	1.54954684638	0.6040382183840791
L2_16	0.0146177949624	0.00279962557812	0.0159555224253	0.191521743555	1.09151362886	0.46000834997515316
